Date,Open,High,Low,Close,Adj Close,Volume
2007-08-10,22.000000,29.000000,21.000000,28.500000,27.616436,9800300
2007-08-13,31.200001,39.669998,29.000000,31.650000,30.668779,3162100
2007-08-14,32.450001,32.700001,29.980000,30.030001,29.099003,609300
2007-08-15,30.209999,30.209999,28.049999,28.559999,27.674572,991800
2007-08-16,28.250000,30.000000,25.059999,28.100000,27.228834,1107500
2007-08-17,30.320000,33.639999,30.000000,32.849998,31.831581,438100
2007-08-20,32.900002,33.500000,29.500000,30.469999,29.525362,235000
2007-08-21,29.709999,30.290001,27.760000,29.020000,28.120314,180500
2007-08-22,29.150000,30.830000,29.150000,29.570000,28.653261,77900
2007-08-23,30.889999,30.889999,28.900000,30.000000,29.069931,244700
2007-08-24,29.160000,30.250000,28.520000,30.000000,29.069931,144200
2007-08-27,29.370001,30.250000,28.510000,29.400000,28.488531,173200
2007-08-28,29.299999,29.799999,28.500000,28.900000,28.004036,292600
2007-08-29,29.520000,30.719999,28.760000,29.330000,28.420700,113800
2007-08-30,29.750000,29.750000,28.549999,28.750000,27.858681,259600
2007-08-31,29.150000,29.150000,28.000000,28.120001,27.248217,69100
2007-09-04,28.010000,29.000000,27.280001,28.000000,27.131939,135500
2007-09-05,27.379999,28.910000,27.000000,28.510000,27.626127,198800
2007-09-06,28.860001,32.250000,28.760000,29.930000,29.002098,179300
2007-09-07,30.680000,31.700001,29.250000,29.500000,28.585430,74900
2007-09-10,29.750000,30.660000,29.070000,29.299999,28.391632,118000
2007-09-11,29.670000,29.750000,28.830000,29.080000,28.178450,106100
2007-09-12,28.870001,29.760000,28.280001,29.170000,28.265665,76500
2007-09-13,29.200001,29.440001,28.940001,29.000000,28.100933,22700
2007-09-14,28.610001,29.760000,28.040001,28.500000,27.616436,117200
2007-09-17,28.250000,28.410000,27.610001,27.750000,26.889688,71900
2007-09-18,27.750000,29.160000,27.469999,28.000000,27.131939,167800
2007-09-19,30.100000,33.740002,30.049999,33.279999,32.248245,697200
2007-09-20,33.490002,38.349998,32.990002,37.060001,35.911068,505100
2007-09-21,36.520000,40.669998,35.630001,40.520000,39.263790,324000
2007-09-24,38.270000,41.299999,38.259998,41.060001,39.787048,312300
2007-09-25,38.720001,39.990002,37.070000,38.200001,37.015717,262100
2007-09-26,38.000000,38.119999,36.500000,38.080002,36.899445,326700
2007-09-27,38.500000,39.919998,35.759998,36.919998,35.775406,380400
2007-09-28,36.230000,38.000000,35.369999,36.259998,35.135853,1571400
2007-10-01,36.630001,39.240002,35.560001,36.709999,35.571911,227700
2007-10-02,37.630001,40.000000,37.240002,39.400002,38.178509,304200
2007-10-03,39.160000,42.790001,38.570000,42.119999,40.814182,383000
2007-10-04,42.709999,43.750000,40.200001,41.270000,39.990536,216700
2007-10-05,42.250000,43.220001,40.000000,41.110001,39.835499,745200
2007-10-08,40.860001,41.340000,39.360001,41.020000,39.748280,102600
2007-10-09,40.970001,45.430000,40.660000,45.380001,43.973118,405200
2007-10-10,45.570000,45.570000,43.900002,44.939999,43.546764,234300
2007-10-11,45.119999,45.490002,40.400002,41.209999,39.932396,331000
2007-10-12,41.000000,42.639999,40.099998,40.459999,39.205647,178300
2007-10-15,41.349998,42.139999,37.000000,38.439999,37.248280,234200
2007-10-16,38.049999,38.650002,35.459999,36.930000,35.785080,237500
2007-10-17,37.820000,39.500000,37.189999,38.580002,37.383934,203600
2007-10-18,38.209999,41.000000,37.230000,39.840000,38.604874,188800
2007-10-19,39.799999,40.349998,37.299999,37.299999,36.143612,88100
2007-10-22,37.250000,39.680000,36.480000,38.639999,37.442078,157500
2007-10-23,39.570000,44.119999,39.570000,42.830002,41.502171,336100
2007-10-24,42.230000,42.389999,37.470001,39.380001,38.159130,358400
2007-10-25,39.349998,40.349998,38.360001,40.029999,38.788975,108800
2007-10-26,40.110001,43.349998,39.660000,43.070000,41.734726,232600
2007-10-29,43.160000,45.919998,42.380001,44.590000,43.207611,341600
2007-10-30,44.599998,48.160000,44.599998,45.860001,44.438240,405400
2007-10-31,46.180000,46.180000,41.139999,44.680000,43.294823,336200
2007-11-01,44.209999,44.400002,40.500000,41.360001,40.077747,287100
2007-11-02,42.029999,45.000000,40.500000,44.340000,42.965351,246100
2007-11-05,43.200001,44.939999,42.279999,43.529999,42.180454,138500
2007-11-06,43.500000,45.799999,43.200001,45.480000,44.070023,138200
2007-11-07,44.340000,44.840000,37.340000,39.400002,38.178509,462700
2007-11-08,40.000000,40.000000,36.180000,37.520000,36.356796,346600
2007-11-09,37.770000,37.770000,34.389999,36.759998,35.620361,287700
2007-11-12,36.650002,38.000000,32.669998,35.180000,34.089336,310300
2007-11-13,36.020000,41.599998,35.349998,41.060001,39.787048,329600
2007-11-14,45.000000,46.860001,41.500000,43.189999,41.851025,442800
2007-11-15,43.330002,47.700001,42.330002,46.439999,45.000248,618800
2007-11-16,46.540001,47.200001,43.709999,46.509998,45.068081,379900
2007-11-19,46.029999,47.049999,44.020000,44.689999,43.304504,249400
2007-11-20,45.150002,46.110001,43.000000,43.619999,42.267685,226300
2007-11-21,42.599998,43.000000,40.340000,41.200001,39.922707,111200
2007-11-23,40.259998,42.520000,40.009998,42.360001,41.046745,119000
2007-11-26,42.580002,43.110001,41.000000,41.169998,39.893623,126800
2007-11-27,41.720001,42.299999,41.000000,41.119999,39.845181,156500
2007-11-28,41.250000,43.610001,40.610001,43.610001,42.257992,277400
2007-11-29,43.500000,44.000000,42.150002,43.000000,41.666908,96900
2007-11-30,43.500000,43.770000,42.250000,42.410000,41.095188,191800
2007-12-03,44.110001,45.840000,44.040001,44.709999,43.323883,526000
2007-12-04,45.619999,45.619999,42.810001,43.360001,42.015736,337900
2007-12-05,44.849998,45.599998,43.570000,44.240002,42.868462,254500
2007-12-06,44.240002,44.500000,43.259998,44.029999,42.664963,259700
2007-12-07,44.299999,44.910000,43.349998,43.770000,42.413036,109600
2007-12-10,44.099998,50.490002,44.000000,49.970001,48.420826,857200
2007-12-11,49.680000,50.000000,47.029999,47.490002,46.017704,657500
2007-12-12,48.880001,53.919998,48.630001,50.799999,49.225086,649700
2007-12-13,50.610001,54.730000,49.980000,53.630001,51.967342,353000
2007-12-14,59.500000,65.459999,57.520000,61.549999,59.641808,6186300
2007-12-17,66.660004,66.660004,58.400002,60.340000,58.469322,2901800
2007-12-18,61.950001,62.389999,56.360001,59.680000,57.829781,1600400
2007-12-19,59.250000,60.430000,57.959999,59.900002,58.042965,720300
2007-12-20,60.990002,61.880001,58.619999,60.470001,58.595299,655400
2007-12-21,61.810001,62.000000,59.259998,60.060001,58.198006,610400
2007-12-24,60.700001,61.770000,59.169998,60.400002,58.527458,366100
2007-12-26,60.840000,72.959999,60.450001,72.849998,70.591476,2040100
2007-12-27,72.650002,81.169998,72.000000,75.300003,72.965515,4763900
2007-12-28,80.730003,80.739998,77.070000,78.809998,76.366722,2393400
2007-12-31,78.000000,78.980003,72.699997,73.879997,71.589561,1296500
2008-01-02,75.980003,76.809998,68.000000,70.099998,67.926712,2081400
2008-01-03,72.790001,72.820000,68.809998,69.440002,67.287216,1224600
2008-01-04,66.480003,67.849998,63.169998,64.089996,62.103058,1356200
2008-01-07,66.160004,66.769997,58.459999,61.369999,59.467384,1853300
2008-01-08,62.500000,65.489998,60.500000,61.099998,59.205753,1183200
2008-01-09,60.070000,61.360001,56.580002,60.680000,58.798782,1573600
2008-01-10,59.639999,65.980003,58.680000,64.059998,62.073990,1506600
2008-01-11,63.430000,67.500000,61.020000,62.599998,60.659256,1446100
2008-01-14,64.410004,65.000000,62.660000,64.709999,62.703838,742600
2008-01-15,63.910000,66.000000,59.799999,59.980000,58.120487,835000
2008-01-16,57.279999,59.250000,50.980000,54.230000,52.548744,2382200
2008-01-17,54.400002,55.490002,43.419998,45.410000,44.002190,2724600
2008-01-18,48.459999,49.070000,45.200001,47.049999,45.591343,2180800
2008-01-22,40.389999,49.470001,40.160000,47.709999,46.230888,1374100
2008-01-23,45.970001,50.740002,44.500000,50.020000,48.469269,1318900
2008-01-24,51.970001,57.740002,51.110001,56.639999,54.884029,1986700
2008-01-25,59.950001,61.750000,53.000000,54.060001,52.384014,1869700
2008-01-28,43.450001,46.680000,40.549999,42.599998,41.279297,4790000
2008-01-29,44.459999,44.790001,41.250000,41.700001,40.407207,1913100
2008-01-30,40.799999,41.000000,35.959999,36.110001,34.990509,3316900
2008-01-31,34.610001,37.900002,34.000000,37.029999,35.881973,2218000
2008-02-01,38.500000,38.880001,36.720001,37.480000,36.318039,1546900
2008-02-04,38.279999,38.310001,36.459999,36.490002,35.358734,1099600
2008-02-05,35.480000,38.250000,34.790001,36.259998,35.135853,1224200
2008-02-06,37.619999,37.680000,33.799999,33.950001,32.897476,1144700
2008-02-07,33.139999,34.450001,31.400000,31.730000,30.746300,1816400
2008-02-08,32.000000,32.939999,31.000000,31.719999,30.736601,1221600
2008-02-11,32.509998,36.480000,32.250000,36.150002,35.029270,2545000
2008-02-12,37.400002,38.869999,34.110001,34.610001,33.537014,2550200
2008-02-13,35.480000,36.900002,34.000000,36.750000,35.610661,1228100
2008-02-14,37.299999,38.410000,35.000000,35.389999,34.292828,1330200
2008-02-15,35.270000,36.299999,34.430000,35.790001,34.680428,658000
2008-02-19,37.060001,37.480000,34.580002,34.630001,33.556393,970200
2008-02-20,33.750000,35.430000,32.910000,34.580002,33.507950,807600
2008-02-21,34.900002,35.189999,32.980000,33.150002,32.122276,518100
2008-02-22,33.080002,33.889999,32.209999,33.400002,32.364529,456900
2008-02-25,33.320000,33.990002,32.669998,33.830002,32.781193,610600
2008-02-26,33.099998,34.020000,32.750000,33.380001,32.345127,575700
2008-02-27,33.049999,37.009998,33.000000,36.630001,35.494385,1515200
2008-02-28,35.919998,38.410000,35.919998,37.380001,36.221146,1410300
2008-02-29,36.820000,37.580002,35.849998,36.150002,35.029270,694800
2008-03-03,38.349998,39.450001,37.060001,37.590000,36.424618,1285500
2008-03-04,36.860001,37.770000,34.099998,35.869999,34.757942,1227700
2008-03-05,36.730000,38.049999,36.400002,37.130001,35.978893,1374800
2008-03-06,38.270000,41.799999,37.820000,39.240002,38.023468,3316500
2008-03-07,37.599998,39.720001,35.240002,36.549999,35.416855,1555100
2008-03-10,36.860001,37.209999,33.709999,33.950001,32.897476,735700
2008-03-11,35.419998,36.650002,34.759998,36.490002,35.358734,727100
2008-03-12,36.500000,40.000000,35.959999,38.830002,37.626183,1288200
2008-03-13,37.450001,39.000000,35.560001,38.599998,37.403320,1311400
2008-03-14,39.230000,40.000000,37.119999,38.240002,37.054466,789800
2008-03-17,36.029999,37.779999,35.139999,35.150002,34.060276,954700
2008-03-18,36.560001,37.750000,35.790001,37.230000,36.075790,704900
2008-03-19,37.430000,38.889999,36.259998,36.349998,35.223064,719600
2008-03-20,37.080002,37.500000,35.740002,36.349998,35.223064,751400
2008-03-24,36.570000,39.750000,36.570000,38.500000,37.306416,798300
2008-03-25,39.080002,40.939999,37.340000,40.450001,39.195961,1434200
2008-03-26,41.570000,42.580002,39.830002,41.549999,40.261852,1917100
2008-03-27,41.709999,41.720001,38.750000,38.889999,37.684315,1013300
2008-03-28,39.470001,39.750000,36.889999,37.040001,35.891678,596500
2008-03-31,37.320000,40.389999,36.639999,39.759998,38.527351,1572400
2008-04-01,40.520000,40.820000,38.570000,40.820000,39.554485,1222000
2008-04-02,40.110001,40.369999,39.000000,39.209999,37.994411,515700
2008-04-03,38.950001,39.790001,38.250000,39.639999,38.411068,578500
2008-04-04,39.849998,43.549999,39.250000,43.220001,41.880081,2068800
2008-04-07,44.110001,44.400002,42.750000,43.700001,42.345211,1195000
2008-04-08,43.419998,45.830002,42.810001,45.360001,43.953735,1485000
2008-04-09,46.720001,46.720001,43.860001,45.150002,43.750248,1125600
2008-04-10,45.049999,47.240002,43.389999,47.139999,45.678547,1378100
2008-04-11,45.650002,47.400002,45.020000,46.490002,45.048714,1471000
2008-04-14,45.799999,46.790001,44.689999,44.689999,43.304504,870800
2008-04-15,45.020000,46.000000,44.599998,45.840000,44.418854,648300
2008-04-16,46.900002,49.349998,46.730000,48.980000,47.461502,1183400
2008-04-17,48.779999,50.730000,47.450001,50.020000,48.469269,1123900
2008-04-18,52.400002,53.599998,50.240002,50.250000,48.692135,1539700
2008-04-21,50.250000,53.240002,49.500000,51.840000,50.232841,875200
2008-04-22,51.880001,52.980000,50.000000,50.520000,48.953773,562500
2008-04-23,50.900002,51.950001,49.630001,51.400002,49.806484,449800
2008-04-24,50.939999,52.759998,48.709999,51.810001,50.203766,796600
2008-04-25,52.119999,52.490002,50.849998,51.900002,50.290997,536600
2008-04-28,52.119999,53.029999,51.169998,52.000000,50.387886,442400
2008-04-29,52.060001,52.330002,49.529999,49.869999,48.323921,499900
2008-04-30,49.869999,51.250000,48.000000,50.580002,49.011913,1059300
2008-05-01,50.450001,51.400002,49.369999,50.250000,48.692135,742900
2008-05-02,51.500000,52.000000,49.799999,49.990002,48.440201,553900
2008-05-05,50.740002,56.779999,50.230000,56.000000,54.263878,2908000
2008-05-06,56.200001,57.250000,53.000000,54.750000,53.052628,1472900
2008-05-07,55.560001,57.560001,54.000000,56.049999,54.312305,1631600
2008-05-08,56.360001,57.709999,54.270000,55.000000,53.294880,1597600
2008-05-09,54.639999,55.980000,53.650002,54.020000,52.345261,1059600
2008-05-12,53.799999,53.990002,50.110001,52.259998,50.639820,1473600
2008-05-13,52.590000,56.560001,52.590000,55.860001,54.128208,2504400
2008-05-14,50.900002,55.980000,50.680000,53.889999,52.219284,3763700
2008-05-15,54.650002,55.439999,54.029999,54.490002,52.800694,814300
2008-05-16,55.000000,55.200001,53.750000,54.700001,53.004173,827400
2008-05-19,54.590000,55.500000,52.880001,53.389999,51.734795,1018800
2008-05-20,52.180000,53.720001,51.500000,53.560001,51.899517,653100
2008-05-21,53.000000,53.500000,48.750000,50.419998,48.856865,1475800
2008-05-22,50.330002,51.790001,44.250000,44.630001,43.246368,2082500
2008-05-23,44.000000,46.349998,40.410000,45.290001,43.885906,2973900
2008-05-27,45.349998,45.349998,42.799999,43.450001,42.102951,731200
2008-05-28,44.900002,46.160000,43.560001,44.900002,43.508003,843900
2008-05-29,44.599998,44.889999,43.560001,44.779999,43.391720,584200
2008-05-30,44.439999,47.320000,44.439999,46.950001,45.494442,1236000
2008-06-02,47.599998,48.680000,45.880001,46.330002,44.893673,721400
2008-06-03,46.340000,47.770000,43.889999,45.470001,44.060326,547800
2008-06-04,45.119999,47.130001,44.480000,46.279999,44.845203,467700
2008-06-05,46.680000,47.900002,46.500000,47.880001,46.395618,610900
2008-06-06,47.470001,47.560001,44.080002,44.500000,43.120399,848700
2008-06-09,44.029999,44.400002,39.650002,40.410000,39.157200,1676300
2008-06-10,39.000000,39.400002,37.000000,38.750000,37.548660,1427900
2008-06-11,39.250000,39.459999,37.619999,37.860001,36.686249,596200
2008-06-12,38.500000,39.189999,36.770000,37.110001,35.959499,614800
2008-06-13,37.279999,38.970001,37.279999,38.279999,37.093224,497900
2008-06-16,38.060001,40.500000,37.869999,39.950001,38.711464,565700
2008-06-17,40.630001,43.369999,40.610001,41.139999,39.864571,986100
2008-06-18,40.700001,40.980000,39.080002,39.680000,38.449841,993200
2008-06-19,39.639999,41.029999,38.610001,40.639999,39.380074,421300
2008-06-20,39.209999,40.160000,38.279999,38.750000,37.548660,674000
2008-06-23,38.869999,39.189999,37.049999,37.450001,36.288971,444100
2008-06-24,37.099998,38.900002,37.000000,37.860001,36.686249,514300
2008-06-25,37.869999,39.450001,37.869999,38.799999,37.597115,372100
2008-06-26,37.029999,38.340000,34.730000,35.220001,34.128105,1215900
2008-06-27,35.099998,36.200001,33.130001,35.900002,34.787022,2374000
2008-06-30,35.560001,36.340000,34.459999,34.490002,33.420738,575600
2008-07-01,34.080002,35.439999,32.549999,35.020000,33.934299,1256700
2008-07-02,35.279999,35.830002,32.750000,32.950001,31.928478,623400
2008-07-03,32.560001,32.849998,28.309999,29.520000,28.604813,1149800
2008-07-07,29.530001,29.969999,26.000000,27.469999,26.618364,2456200
2008-07-08,27.500000,28.000000,25.850000,26.790001,25.959450,1447700
2008-07-09,28.500000,32.650002,27.650000,31.230000,30.261803,3833400
2008-07-10,30.549999,31.980000,29.660000,30.959999,30.000168,997700
2008-07-11,30.260000,30.940001,27.900000,30.150000,29.215282,1004300
2008-07-14,31.350000,31.700001,29.270000,30.540001,29.593193,941400
2008-07-15,30.139999,33.150002,27.940001,31.750000,30.765678,1337100
2008-07-16,32.000000,34.279999,30.809999,34.150002,33.091274,942800
2008-07-17,34.220001,35.250000,33.099998,33.299999,32.267624,898800
2008-07-18,33.020000,34.459999,32.540001,33.720001,32.674606,582900
2008-07-21,33.880001,34.779999,33.119999,34.439999,33.372288,526700
2008-07-22,33.790001,34.990002,33.049999,34.299999,33.236614,652000
2008-07-23,34.110001,34.299999,33.349998,33.950001,32.897476,570800
2008-07-24,34.380001,34.480000,32.330002,32.910000,31.889715,670100
2008-07-25,33.000000,33.360001,32.320000,33.000000,31.976929,400400
